product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,11,NOV,793,metric_tonnes,india_petroleum_consumption.csv,165,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1998,12,DEC,729,metric_tonnes,india_petroleum_consumption.csv,166,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1999,1,JAN,891,metric_tonnes,india_petroleum_consumption.csv,167,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1999,2,FEB,980,metric_tonnes,india_petroleum_consumption.csv,168,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,1998-99,1998,1999,3,MAR,796,metric_tonnes,india_petroleum_consumption.csv,169,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,4,APR,448,metric_tonnes,india_petroleum_consumption.csv,170,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,5,MAY,490,metric_tonnes,india_petroleum_consumption.csv,171,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,6,JUN,462,metric_tonnes,india_petroleum_consumption.csv,172,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,7,JUL,451,metric_tonnes,india_petroleum_consumption.csv,173,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,8,AUG,450,metric_tonnes,india_petroleum_consumption.csv,174,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,9,SEP,452,metric_tonnes,india_petroleum_consumption.csv,175,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,10,OCT,460,metric_tonnes,india_petroleum_consumption.csv,176,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,11,NOV,440,metric_tonnes,india_petroleum_consumption.csv,177,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1998,12,DEC,465,metric_tonnes,india_petroleum_consumption.csv,178,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1999,1,JAN,448,metric_tonnes,india_petroleum_consumption.csv,179,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1999,2,FEB,452,metric_tonnes,india_petroleum_consumption.csv,180,VALID
product-8d171ab9b604e34124ea,MS,MS,1998-99,1998,1999,3,MAR,490,metric_tonnes,india_petroleum_consumption.csv,181,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,4,APR,178,metric_tonnes,india_petroleum_consumption.csv,182,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,5,MAY,178,metric_tonnes,india_petroleum_consumption.csv,183,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,6,JUN,165,metric_tonnes,india_petroleum_consumption.csv,184,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,7,JUL,169,metric_tonnes,india_petroleum_consumption.csv,185,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,8,AUG,170,metric_tonnes,india_petroleum_consumption.csv,186,VALID
product-198fc08108a024c9da45,ATF,ATF,1998-99,1998,1998,9,SEP,171,metric_tonnes,india_petroleum_consumption.csv,187,VALID
